cuddly shape
plush texture
playful stance
soft paws
gentle expression
fluffy belly
tan fur
handmade details
button eyes
floppy ears
cozy blanket
cotton stuffing
hugging action
round ears
child-sized height
twisted arm
bright ribbon
sitting posture
small nose
patchwork design
colorful fabric
sewn seams
embroidered face
curved limbs
smiling mouth
scattered toys
unraveled thread
sitting child
small legs
tilted head
faded color
cheerful room
soft shadows
vintage pattern
curved back
tattered paw
dim lighting
rough stitching
playroom floor
tall drawer
rustic shelf
wooden chair
shaded area
scratchy surface
pleated collar
knotted limbs
cloudy sky
plush arms
tiny paws
nostalgic aura
