aerosol can
fine mist
hair styling
spray pattern
hair voluminizer
shiny finish
shimmering hair
citrus scent
curved nozzle
transparent bottle
floating hairs
textured tips
stylish packaging
pin-up style
sleek silhouette
party atmosphere
colorful label
runway look
beach waves
wet texture
vacation vibes
sprightly curls
delicate fragrance
chrome finish
floating shimmer
soft bristles
polished edges
subtle gradient
matte surface
color splash
angled cap
flowing strands
pristine counter
angled reflection
bright lights
cozy atmosphere
artistic display
decorative shelf
damp roots
small bathroom
woven basket
stylized shapes
textured wall
puffed clouds
spilled product
spray nozzle
sleek finish
full volume
cylinder shape
styling session
