large whiskers
pointed ears
natural habitat
lone creature
fluffy tail
hunting stance
camouflaged fur
wild surroundings
furry paws
stealthy movement
protruding claws
alert posture
sharp eyesight
spotted coat
tall grass
cold climate
dense underbrush
bright eyes
agile leaps
rocky terrain
nighttime activity
snowy landscape
peering gaze
hidden den
whispering wind
crisp air
small rodents
gentle slopes
stony ledges
soft moss
sunlit patches
stretched limbs
thin branches
pine needles
overgrown grasses
faint tracks
rough bark
crunchy leaves
wooden logs
tangled roots
frozen ground
sparse foliage
jagged rocks
wildflowers blooming
dark shadows
sharp gaze
elusive predator
bushy tail
mottled pelt
dappled fur
