large grill
oven interior
slow cooking
sizzling sound
wooden skewer
meat thermometer
rotating arm
dripping fat
cooking juices
wire rack
fire pit
serving platter
golden crust
herb coating
band saw
glistening skin
seasoning spices
shine on metal
charred edges
kitchen countertop
smoky texture
garlic paste
cooking rack
cooking chamber
grill marks
metal skewers
spit rod
heat source
flame licks
smoky aroma
vintage appliance
food carousel
draining tray
forked tines
spice rub
coated glaze
horizontal frame
coal embers
chrome finish
kitchen area
suspension hooks
charcoal bed
porous surface
dripping liquid
circular design
roasting chamber
grilled aroma
cooking process
open flame
culinary display
