gentle giant
fossil remains
curved horns
big frill
broad snout
bushy tail
heavy body
herbivore posture
sturdy limbs
thickset neck
scaled skin
jagged crest
ancient earth
grassland habitat
muscular build
worn igneous rocks
natural camouflage
rocky terrain
muddy ground
earthy tones
large footprints
wild vegetation
sunlit clearing
distant mountains
spiked tail
clawed feet
bulbous head
short legs
wide stance
rugged skin
fossil pattern
high ground
oval body
thick frill
large eyes
grayish hue
forest edge
dense brush
cracked earth
muddy tracks
rough texture
dappled light
bright sun
thick vines
twisted branches
green foliage
rainy backdrop
dark shadows
natural habitat
small horns
open plains
broad base
twisted roots
curved outline
grazing position
triangular shape
sturdy frame
rugged rock
large ridges
hidden valley
bumpy surface
barren ground
stony steps
mossy patch
steep slopes
bright colors
oval eyes
fallen leaves
sunset glow
wildflowers bloom
jagged teeth
sharp claws
chunky limbs
spiky ridge
twisted trunks
broad frill
sturdy legs
stout body
rocky outcrop
high canopy
muddy trail
mainland swamp
sandy soil
evening light
rugged foliage
layered hills
ornate texture
vibrant landscape
swelling clouds
misty backdrop
sun-drenched path
wild grasses
tangled vines
colorful wildflowers
light dapple
ancient stone
swampy edge
triangular frill
small spikes
thick skin
