herding behavior
wagging tail
bushy tail
long fur
dark snout
curly whiskers
twitching nose
pointed ears
white paws
gentle bark
obedient demeanor
cute expression
dog collar
playful stance
brown patches
wavy coat
soft underbelly
alert posture
rolling in grass
running pose
green grass
bright eyes
wooded area
slender legs
sunlit field
furry mane
gentle stride
sharp gaze
slender snout
loose leash
muddy paws
thick neck
arching back
playful leap
chewy toy
bright collar
barking sound
curved tail
wet nose
shaggy coat
chew marks
sunbeam shadows
grassy knolls
broad chest
wooden bench
backyard fence
dirt path
carpet texture
snowy landscape
patchy fur
