fireplace guard
foldable screen
intricate mesh
iron framework
heat resistant
safety barrier
arched top
decorative pattern
polished finish
translucent cover
heavy-duty material
gothic style
gold accents
circular design
wooden base
vintage look
modern art
dark color
geometric shapes
sturdy legs
tall structure
rusty texture
bent frame
multi-panel design
low profile
antique finish
curved silhouette
copper inlay
woven rattan
artistic display
embossed pattern
dual purpose
spatial separator
brass hinges
fragile glass
sharp edges
interwoven fibers
bright flames
stitched leather
luminescent glow
split wood
screwed joints
distressed paint
floating installation
stone texture
glass insert
intricate grille
protective barrier
metal mesh
translucent screen
