mail drop
letter slot
postal flag
wooden post
vintage style
metal door
hollow section
aluminum body
painted wood
urban setting
decorative design
red flag
hanging letters
reflective surface
rusty hinge
brick wall
front yard
sandy driveway
woven basket
clear sky
curved roof
green grass
stone pathway
tall post
metal base
circular opening
raised platform
cardboard box
rectangular shape
silver latch
grounded support
black knob
plastic coating
colorful stamp
decorative trim
wooden panel
weathered surface
screwed joints
hanging chain
plastic wrap
vibrant paint
orange flag
bushy hedge
leafy surroundings
triangular peak
rusty screws
fiberboard texture
decorative post
letter compartment
closed position
