cuddly appearance
gentle demeanor
fluffy ears
delicate paws
bowed head
canine collar
swaying tail
short snout
curled tail
pointed paws
sunlit fur
playful stance
cheerful expression
soft underbelly
bright eyes
small frame
bushy eyebrows
light brown fur
small tongue
white chest
wavy coat
outdoor setting
dappled patterns
slender legs
fluffy tail
small ears
dark markings
pronounced muzzle
resting pose
majestic stance
gentle face
curly fur
whisker length
round eyes
intense focus
curved back
short legs
warm expressions
high energy
soft undercoat
vibrant collar
dynamic movement
active play
bright surroundings
intricate patterns
textured coat
fluffy paws
gentle tilt
twitching nose
shiny eyes
