friendly demeanor
twitching nose
fetching toy
sniffing ground
barking mouth
scruffy beard
small paws
pointed ears
brown patches
short legs
playful stance
sunlit fur
bright eyes
long tail
curly fur
white belly
running energy
jumping antics
sleeping posture
porch setting
chirping birds
wiry coat
wooded trail
muffled barks
muddy puddles
short snout
textured paws
playful jump
tight wrinkles
glossy eyes
vibrant leash
curling tongue
circular collar
shaded area
soft bedding
trendy sweater
bright sunlight
green grass
wooden fence
concrete floor
small garden
inviting porch
stone steps
yellow flowers
leaved branches
dirt path
empty park
sharp gaze
chewy toy
stubby legs
