herd behavior
strong horns
grazing posture
muddy skin
large hooves
calm demeanor
long tail
dusty ground
riverbank habitat
shaded resting
dark coloration
broad back
agricultural field
thick legs
furry ears
gentle eyes
shiny coat
large nostrils
swimming movement
tall grasses
dense foliage
reflective water
sunset silhouette
grazing mouth
natural habitat
curved horns
broad snout
muddy patches
shadowed form
damp earth
sturdy build
wet fur
fractured ground
massive shoulders
rustic landscape
rust-colored mud
dense brush
humpback profile
jungle backdrop
lush green
tall reeds
gritty texture
silhouetted outline
meandering path
undulating grass
rolling hills
sparse vegetation
overhanging branches
grazing teeth
wide stance
thick skin
sharp hooves
rocky ground
sturdy frame
rural landscape
continuous gaze
serene posture
broad chest
muddy texture
peeking ears
swampy terrain
slippery banks
foamy water
earthy tones
tangled roots
fading light
stray leaves
ancient trees
reflective surface
wetland grasses
cluttered brush
soft moss
glistening droplets
thick mud
foamy eddies
brackish water
slick rocks
greasy sheen
gnarled roots
smooth bark
rolling tide
calm lagoon
rustic fence
damp reeds
sandy riverbed
soft rushes
fading reflections
overgrown marsh
jagged stones
floating debris
dappled shade
cracked earth
shimmering surface
grass-strewn shore
sunlit pond
gentle waves
floating lily pads
open pasture
muddy water
still pond
