friendly demeanor
tail wagging
curly coat
wet fur
playful paws
outdoor fetch
hanging ears
glistening nose
short legs
focused gaze
barking sound
sandy ground
running fast
happy posture
muddy surface
leaping jump
sunshine reflection
swimming action
surrounded by trees
bright eyes
grassy field
clear water
wooded path
browned leaves
brown paws
loose collar
tangled fur
wet leash
velvety skin
relaxed stance
treat in mouth
shiny coat
bark-like sound
soft underbelly
curly texture
long hair
circular shape
muddy path
jumping wave
tall grass
splashing water
leafy surroundings
reflection in puddle
sandy shoreline
wooden dock
fenced yard
sunset backdrop
distant mountains
shaggy fur
muddy paws
