small mouthpiece
bright keys
reed section
muffled sound
instrument case
musical notes
sounding chamber
gleaming finish
musician hands
rich tones
finger holes
long tube
playing posture
elegant shape
embouchure hole
metal fittings
curved body
performance stage
lip plate
polished wood
carved detail
soft fabric
upward angle
brass keys
clear toneholes
finely crafted
subtle sheen
narrow bore
angled profile
tight grip
slender neck
dark lacquer
curved bell
black finish
delicate fingers
smooth barrel
rich color
polished surface
intimate setting
soft shadows
ornate rim
vintage style
graceful curve
wavy woodgrain
light reflection
elegant body
musical harmony
casual practice
band performance
music stand
