soap suds
bathroom setting
splashing water
water-filled interior
smooth surface
floating bubbles
showerhead above
vintage style
overflowing edge
circular rim
ceramic finish
bright color
sturdy base
rubber plug
empty container
plastic material
plumbed outlet
decorative pattern
metal band
rusted metal
splash guard
bubbles rising
rounded edges
shower curtain
private corner
tile design
grimy surface
water stains
drain hole
fiberglass shell
wooden deck
reflected light
grout lines
claw feet
shiny porcelain
underwater view
small towel rack
cloudy visibility
textured rubber
filled with sand
potted plants
textured wall
peeling paint
awnings above
deep basin
flat base
natural stone
slippery surface
luxurious setting
high contrast
angled spout
textured sides
soft lighting
plush towels
metallic accents
bamboo mat
jetted interior
shower curtain rod
sunlit corner
large handles
minimalist design
wrought iron rim
candlelit ambiance
frosted glass
tiled backsplash
abstract reflections
artistic shadows
textured fabric
overflow drain
clean line
soft edge
grab bar
spout orientation
faucet placement
non-slip surface
ambient light
sharp angles
unitary design
water splash
safety grip
plumbing connections
minimalist style
textured rim
modern fixture
tile floor
reflective layer
dual-level structure
soft shadows
symmetrical shape
decorative trim
chrome embellishments
caution sign
filling bubbles
angled rim
lathered soap
splash zone
hued ceramic
wet sponge
shimmering water
cozy corner
