enjoying bamboo
curious gaze
black and white
gentle expression
natural habitat
twitching tail
curved paws
large claws
playful stance
soft fur
wide eyes
shiny nose
fluffy ears
sleeping position
thick trunk
round body
climbing tree
outstretched limbs
sunny day
diving pose
sitting posture
green leaves
rocky terrain
patchy markings
bamboo stalks
short limbs
bushy eyebrows
oversized paws
rectangular ears
bending trunk
plush body
soft underbelly
oval face
rolling ground
wooden branch
gentle slopes
dense foliage
sleek black
shaded area
sturdy glutes
dark circles
overgrown grass
bright sunlight
rocky ledge
dark shadows
leafy canopies
mossy stones
baby panda
playful antics
bamboo shoots
