slithering motion
curved tail
creeping stealth
desert camouflage
dorsal ridge
small burrow
sideways glance
triangular scales
sharp fangs
hidden ambush
coiled posture
arched body
flattened body
amber eyes
serrated edges
mute surroundings
twisted vegetation
pointed horns
sand texture
rocky terrain
circular pupils
dark patterns
yellow stripes
sunlit rocks
spotted scales
sandy substrate
natural camouflage
sharp contrast
serpentine curve
sinuous shape
grainy sand
twisted roots
rough ground
shaded crevices
erratic cluster
natural light
muddy terrain
thin grass
irregular stones
layered rocks
twilight glow
dappled shadows
sunny boulders
dry branches
low shrubs
faded earth
intersecting paths
green foliage
rough scales
lizard tracks
