bell-shaped dome
prayer flags
cultural significance
ceremonial lighting
golden finial
religious offerings
spiritual gathering
sacred symbols
circular base
serene landscape
ornate carvings
reflective surfaces
stone steps
arched gateways
mountain backdrop
whitewashed walls
decorative niches
wooden railings
simplistic silhouettes
weathered stone
skyline silhouette
moss-covered stones
lattice windows
textured shadows
domed structure
asymmetrical roof
carved pillars
stone masonry
circular path
smooth curves
vibrant murals
sandy ground
intricate patterns
decorative friezes
sturdy foundation
faded colors
wide staircase
ceramic tiles
golden hour
drifting clouds
contrasting shadows
rustic entrance
surrounding trees
weathered edges
elegant silhouette
textured domes
layered structure
detailed carvings
viewing platform
overhead view
