metal grates
heat output
plumbing pipes
industrial look
vertical fins
wall-mounted unit
compact design
white enamel
decorative cover
insulation foam
smooth edges
seamless joints
detailed ribs
thermostat control
vintage style
modern aesthetic
water channels
reflective surface
ambient glow
room corner
rusty surface
protective grill
acoustic dampening
painted metal
horizontal slats
flat surface
modern fixtures
embossed patterns
compact space
mechanical joints
reflective sheen
exposed wires
angled brackets
furniture contrast
functional placement
worn finish
elegant curves
dim lighting
rustic wood
ambient surroundings
circular shape
minimalist style
colorful accents
dark shadows
central heating
heat exchanger
vertical slots
decorative grill
exposed tubing
high temperature
