feeding behavior
natural camouflage
muddy water
aquatic habitat
sniffing ground
sharp claws
flat tail
scent markings
furry texture
dam structure
burrow entrance
webbed feet
gnawed branches
water ripples
gnawing wood
active at dusk
forest edge
logs stacked
social interactions
underbrush foliage
dental wear
bushy tail
swampy area
wide snout
thick fur
natural habitat
brown coloration
short limbs
brown undercoat
pond surface
twig gathering
rounded ears
sharp incisors
muddy bank
large paws
flat skull
wetland vegetation
damp soil
scratch marks
tree stumps
sturdy build
forest floor
gnarled roots
bright eyes
overhanging branches
furry body
muddy banks
watery edges
fur patterns
refreshing breeze
