combing action
circular mirror
fluffy tail
focused attention
clipped fur
rubber gloves
shiny coat
tangled knots
blow dryer
padded table
scented spray
bristle brush
pinned ear
soft paws
grooming cloth
clipper machine
grooming area
shedding comb
clear water
polished nails
dog collar
pet shampoo
gentle touch
elegant features
cheerful owner
whimsical design
shiny eyes
playful pose
soft fur
twisted tail
bright collar
calming environment
smooth mane
bright sunlight
cushioned seat
long whiskers
spacious room
small brush
paw pad
fuzzy ears
fluffy undercoat
curved scissors
treat rewards
cozy blanket
colorful bandana
soft touch
silky mane
dull blade
curved edges
tranquil space
