loyal companion
broad muzzle
puppy playfulness
playful behavior
barking stance
white markings
furry paws
collared neck
obedient demeanor
alert stance
focused gaze
sharp ears
chestnut patches
dense undercoat
black fur
friendly posture
curved tail
slim build
strong legs
running motion
short coat
expressive eyes
agile movements
mountain backdrop
grassy field
wagging tail
large paws
quiet demeanor
black snout
eager expression
bright collar
brown patches
playful stance
thick neck
chunky form
short legs
fleshy tongue
soft underbelly
curved back
squat shape
round eyes
shiny coat
fluffy tail
alert posture
broad chest
muscular physique
textured fur
white chest
shiny leash
tailored harness
