daily hygiene
hand sanitizer
refill indicator
liquid stream
chrome nozzle
lightweight design
pumping action
splashing liquid
glass container
plastic casing
side view
cleansing foam
countertop placement
wall-mounted style
sensation of touch
blue pump
stainless frame
modern aesthetics
user interaction
mounted unit
angled perspective
detailed surface
abrasive residue
trigger mechanism
clear reservoir
hygienic design
compact size
visible liquid
drip tray
user-friendly design
stationary position
dynamic angle
clean lines
ambient lighting
automatic sensor
decorative elements
oval shape
smooth surface
brushed finish
refillable cartridge
minimalist style
high-contrast colors
soft edges
curved silhouette
subtle branding
environmental context
shadow play
dispensing mechanism
cleansing agent
nozzle shape
