sand timer
transparent glass
distorted reflections
precise measurement
timing mechanism
filling process
symmetrical shape
decorative piece
gravitational flow
timeless style
chic design
minimalist aesthetic
ceramic base
flowing sand
elegant curves
faded colors
narrow waist
filling chamber
reflected light
dynamic shape
balanced proportions
reflective coating
delicate design
minimalist form
modern twist
smooth surface
translucent sides
ambient lighting
focal point
duo-tone finish
artistic display
crafted curves
layered elements
subtle hues
holding sand
curved silhouette
shattered edges
serene backdrop
cascading grains
textured patterns
glass material
glossy finish
ancient relic
fine craftsmanship
metal stand
elegant stand
natural light
ceramic finish
warm tones
contrasting colors
