duck-like head
beaver tail
shiny beak
rounded snout
bushy tail
softly floating
swimming in pairs
aquatic habitat
soft underbelly
resting on bank
glistening skin
natural camouflage
small claws
mud burrow
larvae hunting
brown fur
hiding in reeds
gentle ripples
eyes above water
webbed feet
wet fur texture
flat bill
stream bank
tapered snout
nesting area
brown algae
peeking out
clear water
quiet ripples
camouflaged habitat
muddy edges
serene reflection
slick surfaces
natural debris
submerged rocks
twisted roots
soft shadows
furry texture
gentle waves
soft moss
smooth pebbles
colorful pond
underwater plants
shaded rocks
surrounding reeds
dappled sunlight
leafy surroundings
gentle current
floating debris
sandy bottom
