bushy tail
narrow snout
eucalyptus leaves
gentle expression
round ears
natural habitat
gray fur
clawed paws
sharp claws
sitting position
mottled fur
large eyes
light gray tone
hanging position
sleeping posture
curved limbs
spherical nose
pale underbelly
tree branches
dense foliage
padded feet
bark texture
curious gaze
thick limbs
branching out
playful interaction
calm demeanor
furry face
short legs
playful stance
loose grip
dark nose
climbing motion
sunlit spot
quick movement
white patch
curved back
tree trunk
vertical posture
green canopy
intertwined branches
dry leaves
dense shadows
rugged landscape
rolling hills
wildflower arrangement
larger than life
soft paws
fuzzy silhouette
gentle sway
