black dorsal fin
large tail
playful breach
powerful swim
playful splash
seal hunting
circling prey
deep sea
white underbelly
curved jaw
fishing pod
underwater view
thrashing water
distinctive pattern
group behavior
bubbles rising
open mouth
shimmering scales
echo location
sunlit water
smooth skin
close-up eyes
muscular body
deep blue
natural habitat
plunge dive
graceful arc
playful interaction
marine ecosystem
predatory grace
ocean depth
sea mist
agile movement
streamlined shape
surface ripples
hunting strategy
dark silhouette
fresh catch
swirling foam
reflected light
choppy waves
tide pools
jagged cliffs
rocky coastline
breaching form
silent glide
deep currents
diving seabirds
seal colony
whirlpools forming
