edible plant
long stem
green skin
fresh produce
slice segments
salad preparation
curved shape
plump body
natural light
garnished plate
vibrant color
sizzling sound
cooking pot
rustic basket
market stall
glistening surface
chopped pieces
green vegetable
close-up view
unripe fruit
steamed vegetables
curved ends
asymmetrical shape
pale green hue
cooked dish
ridged surface
tapered tip
kitchen knife
hand holding
garden setting
mixed salad
rough skin
rustic table
sauteed pieces
shiny exterior
green stem
herbaceous scent
tightly packed
gleaming edge
tender leaves
organic arrangement
wholesome cooking
slender shape
smooth curve
ripe fruit
collected harvest
garden plot
fertile land
chef knife
rustic plate
