serrated blade
belt attachment
wooden grip
curved edge
shiny finish
leather strap
tarnished metal
closed position
traditional design
soft lining
engraved initials
sculpted shape
metallic clasp
functionality in use
smooth surface
vintage style
hanging loop
canvas cover
rugged texture
contrasting colors
colorful embroidery
functional cut
low profile
plain leather
smooth edge
heavy duty
strap buckle
reinforced seams
practical shape
thick material
sharp angles
dark coloration
square cross-section
crossed lines
simple form
subtle grain
woven design
subdued patterns
conveying motion
minimalist design
faded colors
neutral tones
structured silhouette
abstract shapes
ornate hilt
polished edge
wrapped grip
tapered design
simple closure
sturdy base
faded patina
distressed leather
luxurious finish
embossed design
reinforced corners
thick stitching
thin straps
circular opening
slender profile
curved silhouette
decorative fringe
cushioned interior
brass fittings
geometric pattern
weathered surface
layered fabric
decorative belt
embellished handle
metal accents
curved profile
triangular tip
frayed edges
subtle shine
textured leather
artisanal crafting
ornamental clasp
floral engraving
interior padding
detailed stitching
silk wrapping
reflective surface
angular silhouette
jute covering
baroque motifs
jewel encrusted
bold prints
multicolored design
shiny studs
protruding handle
strong grip
curved bottom
sharp line
rough edges
closed end
simple clasp
smooth seam
heavy weight
rectangular body
narrow opening
tight weave
