dark plumage
mating ritual
sharp beak
territorial stance
curved tail
wing flaps
nesting spot
soft landing
textured feathers
early morning light
mountain habitat
wetland area
partially hidden
colorful display
open field
vibrant eyes
leafy surroundings
faint tracks
dappled sunlight
forest floor
blooming heather
scratched earth
fluffed feathers
dusky silhouettes
sunlit patch
twilight glow
bristly undergrowth
pebbled ground
frosted grass
twig nest
falling leaves
shadowy thicket
rocky outcrop
budding branches
stony path
misted valley
scattered twigs
dry soil
slippery stones
distant mountains
cloudy backdrop
aurora sky
mossy terrain
leafy canopy
curved beak
bushy tail
sharp claws
thick brush
fertile meadow
long legs
