sink accessories
draining water
soap dish
countertop view
white ceramic
modern design
oval shape
decorative edge
vintage style
clean towel
reflected surface
dirty dishes
tiled wall
wet sponge
brushed steel
bright lighting
bottle opener
clear glass bottle
angled basin
faucet handle
tiled countertop
refined finish
hard porcelain
splash guard
metal accents
smooth edge
ambient lighting
clear reflection
drain plug
wall-mounted shelf
black granite
textured rim
small puddle
empty space
wooden cabinet
water droplets
slippery surface
hexagonal pattern
marble texture
bottle brush
colorful stone
small faucet
spigot connection
natural stone
siphon tube
bathroom stall
draining rack
under-mount design
including soap
shiny enamel
