crossbar tension
supporting ledge
connecting beam
lateral support
horizontal alignment
metal edge
suspended feature
dashed line
horizontal fracture
side view
painted stripe
reflective panel
flat surface
parallel lines
fabric edge
geometric shape
concrete slab
dimensional perspective
lighting shadow
industrial framework
wood grain
lumber stack
ladder rung
supporting strut
swing arm
curved rod
wooden beam
support structure
horizontal divider
banner display
metal railing
gym equipment
rustic rail
bridge span
shelf edge
painted surface
bicycle frame
bunk bed
abstract design
bright sign
floorboard seam
garden fence
cylindrical pole
suspension line
smooth rod
aluminum track
horizontal cross
dark ledge
silver rail
concrete beam
