fossil remains
predator presence
three distinct horns
prehistoric landscape
large frill
broad back
thick neck
bumpy skin
powerful stance
jaw with teeth
short tail
muscular build
scaly surface
herbivore grazing
rocky terrain
muddy ground
thick legs
group behavior
ancient footprints
plant-filled habitat
rugged texture
dull colors
dusk setting
blue sky
lone dinosaur
horned skull
spiked tail
rough claws
large eye sockets
sturdy limbs
thick hide
wide stance
grazing position
curved frill
smooth underbelly
deep shadows
earthy tones
forest floor
muddy footprints
twisted branches
dappled sunlight
plant textures
dirt path
tall grass
forest backdrop
shadowy foliage
distant mountains
bright foliage
large body
natural habitat
