herd behavior
thick horns
grazing position
large ears
wide stance
feeding trough
farmyard setting
curved snout
muddy pasture
large hooves
long legs
short tail
friendly eyes
brown fur
strong muscles
water source
creekside grass
tethered rope
grass patches
heavy silhouette
bristled coat
rolling hills
warm sunlight
shaded landscape
dirt path
curved horns
thick hide
soft muzzle
serene expression
heavy breath
muddy ground
active stance
tough skin
strong bones
sturdy build
spotted fur
green meadow
large frame
tall grass
dark eyes
flat landscape
furry coat
stable interior
sandy path
standing posture
wooden fence
dirt trail
blue sky
golden light
lush vegetation
