curved fenders
steel chassis
wide stance
vintage styling
front bumper
classic grill
hood ornament
chrome accents
spoked wheels
cab layout
engine compartment
suspension system
open trunk
tailpipe design
rectangular headlights
glossy finish
leather upholstery
two-tone paint
wooden dashboard
backseat space
manual transmission
iconic silhouette
round mirrors
classic lines
retro styling
streamlined body
high contrast
sleek profile
chrome detailing
silver accents
symmetrical layout
full frame
handcrafted design
smooth curves
bold colors
interior knobs
bulbous shape
safety features
soft upholstery
engine block
painted surface
weathered finish
visible gears
tight seams
window reflections
open door
flat chassis
front grille
fine detailing
grip steering
