caffeine buzz
warm beverage
latte art
small cup
brown crema
barista technique
mocha flavor
coffee beans
brass portafilter
dark liquid
rich aroma
tiny spoon
steam rising
morning ritual
detailed swirl
wet surface
pulling shot
jewel glass
hawk-eyed gaze
kitchen counter
textured foam
marble texture
coffee skin
dark crema
stylish cup
high contrast
funnel shape
liquid motion
flat surface
warm light
glossy finish
delicate porcelain
settled bubbles
textured rim
metal spout
steam wand
stainless steel
diagonal lines
circular pattern
smooth granite
frosted glass
spherical bubble
sininmortar texture
abstract splash
wooden tamp
latte swirl
soft steam
smooth finish
ceramic finish
thick rim
