bridge deck
arched structure
steel truss
river view
wide angle
pedestrian walkway
decorative railings
supporting pylons
urban skyline
traffic flow
suspension cables
train underneath
reflected sunlight
rusted metal
morning fog
road surface
night illumination
weathered surface
cloudy sky
sunset backdrop
duel arches
dynamic perspective
contextual setting
underneath view
curved silhouette
angled supports
scenic backdrop
horizon line
connection points
swaying cables
reflective surface
vertical lines
industrial design
scaffold layout
blue sky
foreground foliage
steel texture
natural lighting
geometric patterns
detailed joint
weathered paint
shadows cast
spanning arc
river spanning
cross bracing
arched shape
urban infrastructure
landmark feature
metal framework
elevated view
