sharp blade
sheath fitting
belt attachment
fine detail
hand grip
curved edge
protective cover
smooth finish
laced corners
closed form
traditional design
compact shape
dark color
subtle shine
sliding motion
rigid structure
metal clasp
woven strap
knot tying
vintage style
leather texture
wood grain
hilt exposure
ornamental edge
exposed lining
horizontal carry
belt loop
tension buckle
rugged finish
reinforced opening
distressed edges
polished surface
base support
angular form
carved wood
cylindrical shape
double seam
bright accent
gripped section
metal fittings
hanging loop
contrast stitching
stitched panel
long silhouette
minimalist design
vivid colors
shiny trim
flat edge
heavy duty
interior lining
