scaly skin
hidden lizard
forked tongue
sharp claws
basking in sun
slender tail
camouflaged body
serpentine shape
slow movement
creepy crawl
sunbaked ground
hissing sound
twitching whiskers
large eyes
burrow entrance
yellow spots
bright patterns
between rocks
dark surroundings
gliding motion
sunny day
desert landscape
surrounding shrubs
coiled form
crawling motion
patterned scales
rounded snout
thick body
forked limbs
pale underbelly
texture contrast
dark crevice
arid conditions
slightly elevated
rocky ledge
dry ground
shrouded shadow
sunlit patch
small bush
orange hue
gnarled roots
light filtering
narrow pathway
distant haze
spotted limb
flesh ripple
twisted tail
hard scale
exposed belly
dark markings
