loyal companion
gentle giant
playful demeanor
black fur
puppy size
wet fur
happy tail
friendly expression
large paws
furry face
playful splash
broad head
fluffy coat
dog park
short legs
hardy build
shaggy texture
brown eyes
webbed feet
bright sunlight
tall grass
swimming action
outdoor setting
watery environment
bushy tail
quiet demeanor
dark snout
resting position
muzzle whiskers
floppy tongue
thick neck
plush mane
deep bark
dense undercoat
curled tail
rounded ears
heavy frame
gentle eyes
playful nature
solid stance
shiny nose
sturdy build
alert posture
soft pads
wide chest
graceful movements
dark mask
long limbs
wavy fur
brown patch
